Root,Meaning,Closest Concepticon Match (unreliable),Suggested Match,AMB comments
ā,(an exclamation),AT,,
abʰ-,"swift, quick, abrupt","ERUPT, QUICKLY, SUIT",FAST,
1. ai,(an exclamation),AT,,
aḱru,tear(drop),,TEAR (OF EYE),
"āmer-, āmōr, āmr̥",day,DRY,"DAY (NOT NIGHT), DAY (24 HOURS)",
"ames-, or omes-","blackbird: <b>merl</b>, <b>ousel</b>","BLACKBOARD, MEAL, LOUSE","
BIRD",
ant-s,"brow, front, <b>anterior</b>","BROWN, FROST","EYEBROW,  FRONT (PART)",
"arōd-, arəd-",(type of waterbird),"OR, TULE","
BIRD",
"ati, ato-","over, beyond","BEND, OVEN",OVER THERE,
"10. au̯(e)-, au̯ē(i)-, u̯ē-","to <b>vent</b>, blow","VEST, TWO, FLOW","BLOW (OF WIND), BLOW (WITH MOUTH)",
bata-,"babble, murmur, meaningless stuttering","BUBBLE, MURDER",MUMBLE,
bʰar- : bʰor- : bʰr̥-,"<b>burr</b>, stubble; something jutting out","OAT, BURY, STUMBLE",HANG,
"2. bʰē̆, bʰō̆",(emphatic particle),,,
"bʰeg-, bʰeng-","to <b>bang</b>, break, smash","HANG, SPLASH, TWO, BEAK","BREAK (DESTROY OR GET DESTROYED), BREAK (CLEAVE), BREAK (BREAKING)",
1. bʰeidʰ-,"to force; advise, <b>confide</b>, encourage","FORGE, TWO, COURAGE","
TRUST (SOMEBODY)",
2. bʰel-,henbane,,PLANT (VEGETATION),
bʰeres-,"quick, <b>festinate</b>","OBSTINATE, QUICKLY",FAST,
4. bʰeug-,to enjoy,"TWO, JOY","DELIGHT, PLEASURE",
bʰləido-s,"pale, light","TIGHT, MALE",LIGHT (COLOR),
bʰorgʷo-s,"gruff, unfriendly",GULF,"FRIEND, NOT",these two concepticon ideas combined come close
1. bʰreǵ-,to <b>break</b>,"TWO, BEAK","BREAK (DESTROY OR GET DESTROYED), BREAK (CLEAVE), BREAK (BREAKING)",
bʰres-,"to <b>burst</b>, break","MUST, TWO, BEAK","BREAK (DESTROY OR GET DESTROYED), BREAK (CLEAVE), BREAK (BREAKING)",
bis-(t)li-,gall,GILL,"GALL BLADDER, BILE",
blat-,"to chat, prattle","WHAT, TWO, RATTLE",CHAT (WITH SOMEBODY),
blē-,to bleat,"BEAT, TWO","GOAT,  SHEEP, SOUND OR NOISE",type of sound of goat/sheep
"dāiu̯ēr, genitive daiu̯rés",brother-in-law,BROTHER-IN-LAW,BROTHER-IN-LAW (OF MAN),
*dəǵʰ-mó-,slanting,,SLANTED,
dəǵʰ-mó-s,slanting,,SLANTED,
"derə-, drā-",to work,"TWO, WOK",WORK (ACTIVITY),
