Root,Meaning,Closest Concepticon Match (unreliable)
ā,(an exclamation),AT
abʰ-,"swift, quick, abrupt","ERUPT, QUICKLY, SUIT"
1. ai,(an exclamation),AT
aḱru,tear(drop),
"āmer-, āmōr, āmr̥",day,DRY
"ames-, or omes-","blackbird: <b>merl</b>, <b>ousel</b>","BLACKBOARD, MEAL, LOUSE"
ant-s,"brow, front, <b>anterior</b>","BROWN, FROST"
"arōd-, arəd-",(type of waterbird),"OR, TULE"
"ati, ato-","over, beyond","BEND, OVEN"
"10. au̯(e)-, au̯ē(i)-, u̯ē-","to <b>vent</b>, blow","VEST, TWO, FLOW"
bata-,"babble, murmur, meaningless stuttering","BUBBLE, MURDER"
bʰar- : bʰor- : bʰr̥-,"<b>burr</b>, stubble; something jutting out","OAT, BURY, STUMBLE"
"2. bʰē̆, bʰō̆",(emphatic particle),
"bʰeg-, bʰeng-","to <b>bang</b>, break, smash","HANG, SPLASH, TWO, BEAK"
1. bʰeidʰ-,"to force; advise, <b>confide</b>, encourage","FORGE, TWO, COURAGE"
2. bʰel-,henbane,
bʰeres-,"quick, <b>festinate</b>","OBSTINATE, QUICKLY"
4. bʰeug-,to enjoy,"TWO, JOY"
bʰləido-s,"pale, light","TIGHT, MALE"
bʰorgʷo-s,"gruff, unfriendly",GULF
1. bʰreǵ-,to <b>break</b>,"TWO, BEAK"
bʰres-,"to <b>burst</b>, break","MUST, TWO, BEAK"
bis-(t)li-,gall,GILL
blat-,"to chat, prattle","WHAT, TWO, RATTLE"
blē-,to bleat,"BEAT, TWO"
"dāiu̯ēr, genitive daiu̯rés",brother-in-law,BROTHER-IN-LAW
*dəǵʰ-mó-,slanting,
dəǵʰ-mó-s,slanting,
"derə-, drā-",to work,"TWO, WOK"
"2. der-, reduplicated der-der-, dr̥d<sub>o</sub>r-, broken reduplication dor-d-, dr̥-d-","(onomatopoeic: to mutter, grumble)","MATTER, MUMBLE, TWO"
?*dʰeh₂g/g̑-{1},"sharpen, hone","SHAPE, HONEY"
2. dʰel-,to light; shining,"TIGHT, STINKING, TWO"
3. dʰel-,to tremble,"TEMPLE, TWO"
"dʰerbʰ-, dʰerəbʰ-?",to work,"TWO, WOK"
dʰerebʰ-,to harden; coagulated,"TWO, GARDEN"
dʰeregʰ-,bushy plants,"BUSH, PLATE"
dʰō-,to sharpen,"TWO, SHAPE"
2. dʰregʰ-,"to hurt, torment","FERMENT, TWO, HUNT"
dʰrono-,multicolored?,
"dʰu̯er-, dʰu̯erə-",to harm by trickery/deception,"ARM, TWO, BUY"
dreǵʰ-,"vexed, displeased, unwilling",WEED
du̯ei-,to fear,"WEAR, TWO"
?*du̯er-{1},run/walk,
1. edʰ-,"tip, point","HIP, JOINT"
eg-,lack (of something),"OR, BACK"
"eʰem, eʰeu, eʰo",<b>aha</b>! <b>oho</b>! (exclamation),"WHO, AWE"
2. ē̆i,O (vocative particle),GO
2. el-,"to lie, recline","LIKE, TWO"
"eneḱ-, neḱ-, enḱ-, n̥ḱ-","to reach, obtain","PREACH, TWO, CONTAIN"
"enos-, or onos-","<b>onus</b>, burden","BORDER, ANUS"
"2. ē, ō",oh (vocative interjection),OR
epero-,wild boar,"WIND, BOAT"
epʰ-,to cook,"LOOK, TWO"
"4. er-, er-t-, er-u̯-",<b>earth</b>,MARSH
1. ereu-,"to ask, seek","WEEK, MASK, TWO"
eti,"out, beyond, etc.","OAT, PET, BEND"
ētro-,"quick, swift, hurried","SUIT, QUICKLY"
"gag-, gōg-",something round/lumpy,
gan(dʰ)-,vessel,WEASEL
