,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
0,ā,ā,,h₂eh₂,
1,ab-,ab ap,,h₂ep-,
2,"ā̆bel-, ā̆bō̆l-, ab<sub>e</sub>l-",ā̆bel ā̆bō̆l abel,,"h₂abō̆l-, h₂abel-",https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82%C3%A9b%C5%8Dl
3,abʰ-,abʰ,,abʰ-,
4,abʰro-,abʰro,,"*h₃(e)pró(s), *h₃(e)pro(s)",
5,abō(n),abō abōn,,h₂eph₃ō(n),
6,1. ad-,ad,,,
7,2. ad-,ad,*h₂ed-,h₂ed-,
8,"ades-, ados-",ades ados,,,
9,"ad(u)-, ad-ro-",ad adu ad adro,,,
10,aǵ-,aǵ,1.*h₂eg̑-{0},*h₂eg̑-,
11,ā̆ǵ-,ā̆ǵ,,,
12,aǵʰ-,aǵʰ,,,
13,"ā̆ǵʰer-, ā̆ǵʰen-, ā̆ǵʰes-, or ō̆ǵʰer etc.",ā̆ǵʰer ā̆ǵʰen ā̆ǵʰes ō̆ǵʰer,,,
14,agʰ-,agʰ,*h₂egʰ-{1},*h₂egʰ-,
15,agʰ-(lo-),agʰ agʰlo,,,
16,agʰl(u)-,agʰl agʰlu,,,
17,agos-,agos,,,
18,"agro-, egro-?",agro egro egro?,,,
19,aǵro-s,aǵro aǵros,,,
20,"agʷ(e)sī, aksī",agʷsī agʷesī aksī,,,
21,agʷʰ-no-s,agʷʰ agʷʰno agʷʰnos,,,
22,1. ai,ai,,,
23,2. ai-,ai,,,
24,3. ai-,ai,1.*h₁ai̯-{1},h₁ai̯-,
25,"ai-ti-, ai-to-, oi-to-",ai aiti ai aito oi oito,,,
26,4. ā̆i-,ā̆i,?2.*h₁ai̯-{1},h₁ai̯-,
27,5. ai- : oi-,ai : oi,,,
|,aid-,aid,,,
29,"ai-dʰ-, i-dʰ-, nasalized i-n-dʰ-",ai aidʰ i idʰ i in indʰ,*h₂ei̯dʰ-{1},h₂ei̯dʰ-,
30,"ā̆ier-, ā̆ien-",ā̆ier ā̆ien,,,
31,aiǵ-,aiǵ,,,
32,"1. aig-, nasalized ing-",aig ing,,,
33,2. aig-,aig,,,
34,3. aig-,aig,*Hei̯g-{1},Hei̯g-,
35,aigʷʰ-,aigʷʰ,,,
