,texas_root,web_root
0,ā,"ā, ā"
1,ab-,"ab-, ab-"
2,"ā̆bel-, ā̆bō̆l-, abel-","ā̆bel-,
ā̆bōl-, abel-, ā̆bel-, ā̆bōl-, ab↓↓e↓↓l-"
3,abh-,"abh-, abh-"
4,abhro-,"abhro-, abhro-"
5,abō(n),"abō(n), abō(n)"
6,1. ad-,"ad-1, ad-1"
7,2. ad-,"ad-2, ad-2"
8,"ades-, ados-","ades-,
ados-, ades-, ados-"
9,"ad(u)-, ad-ro-","ad(u)-,
ad-ro-, ad(u)-, ad-ro-"
10,ag̑-,"aĝ-, aĝ-"
11,ā̆g̑-,"ā̆ĝ-, ā̆ĝ-"
12,ag̑h-,"aĝh-, aĝh-"
13,"ā̆g̑her-, ā̆g̑hen-, ā̆g̑hes-, or ō̆g̑her etc.","ā̆ĝher-,
ā̆ĝhen-, ā̆ĝhes- (oder ōĝher usw.), ā̆ĝher-, ā̆ĝhen-, ā̆ĝhes- (oder ōĝher usw.)"
14,agh-,"agh-, agh-"
15,agh-(lo-),"agh-(lo-), agh-(lo-)"
16,aghl(u)-,"aghl(u)-, aghl(u)-"
17,agos-,"agos-, agos-"
18,"agro-, egro-?","agro-
(egro-?), agro- (egro-?)"
19,ag̑ro-s,"aĝro-s, aĝro-s"
20,"agu̯(e)sī, aksī","agu̯(e)sī,
aksī, agu̯(e)sī, aksī"
21,agu̯h-no-s,"agʷh-no-s, agʷh-no-s"
22,1. ai,"ai
1, ai 1"
23,2. ai-,"ai-2, ai-2"
24,3. ai-,"ai-3, ai-3"
25,"ai-ti-, ai-to-, oi-to-","ai-ti-,
ai-to- : oi-to-., ai-ti-, ai-to- : oi-to-"
26,4. ā̆i-,"ā̆i-4, ā̆i-4"
27,5. ai- : oi-,"ai-5
: oi-, ai-5 : oi-"
28,aid-,"aid-, aid-"
29,"ai-dh-, i-dh-, nasalized i-n-dh-","ai-dh-,
i-dh-, nas. i-n-dh-, ai-dh-, i-dh-, nas. i-n-dh-"
30,"ā̆ier-, ā̆ien-","ā̆ier-,
ā̆ien-, ā̆ier-, ā̆ien-"
31,aig̑-,"aiĝ-, aiĝ-"
32,"1. aig-, nasalized ing-","aig-1,
nas. ing-, aig-1, nas. ing-"
33,2. aig-,"aig-2, aig-2"
34,3. aig-,"aig-3, aig-3"
35,aigu̯h-,"aigʷh-, aigʷh-"
36,ā(i)g̑h- : īg̑h-,"ā(i)ĝh-
: īĝh-, ā(i)ĝh- : īĝh-"
37,ā̆ik̑- : ī̆k̑-,"ā̆ik̂-
: ī̆k̂-, ā̆ik̂- : ī̆k̂-"
38,aik-,"aik-, aik-"
39,ai̯os-,"ai̯os-, ai̯os-"
40,ai-rā,"ai-rā, ai-rā"
41,1. ais-,"ais-1, ais-1"
42,2. ais-,"ais-2, ais-2"
43,aisk-,"aisk-, aisk-"
44,ai-tro-,"ai-tro-, ai-tro-"
45,"aiu̯-, ai̯u-","aiu̯-,
ai̯u-, aiu̯-, ai̯u-"
