lemma,translation,iew_reference,author,category,innovation,pie_stem,branch,language_form_and_translation,notes
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",root,0,*bʰag-{1},PIE,PIE *bʰag-{1} ‘als Anteil bekommen’{2},"notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",root aorist,0,*bʰág-/bʰg-,Greek,[gr. ἔφαγον ‘aß (auf)’{3},"notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2. – {3} Suppl. zu ἐσθίω bzw. ἔδω, s. *h₁ed-."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",full-grade e-present,0,*bʰág-e-,Indic,"ved. bhájati ‘teilt zu’, bhájate ‘bekommt Anteil’","notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",full-grade e-present,0,*bʰág-e-,Iranian,"jav. bažat̰ ‘teilt zu, verteilt’","notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",éi̯e-causative–iterative,0,*bʰog-éi̯e-,Indic,ved. bhājáyati ‘läßt Anteil nehmen’,"notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",perfect,0,?*bʰe-bʰóg/bʰg-,Indic,"ved. bhejé ‘hat (als Anteil bekommen)’, babhā́ja ‘hat zugeteilt’{3a}","notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2. – {3a} Die alte Bedeutung wird vom ved. Medium fortgesetzt, mit Anpassung an die Diathese des Präsens, während das Aktiv als faktitive Oppositionsbildung dient; Neubildung kann aber nicht ausgeschlossen werden, vgl. KÜMMEL, Perfekt 333-5."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",s-desiderative,0,?*bʰág/bʰₐg-s-,Indic,"[ved. abhakṣayam ‘genoß, trank’{4}","notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2. – {4} Falls Iterativbildung zu einem Desider. *bhákṣa- (das im Ved. nicht sicher belegt ist, s. GOTŌ 222469) und nicht mit EWAia II 239 denominativ zu bhakṣá- m. ‘Genuß, Trank, Speise’."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",s-desiderative,0,?*bʰág/bʰₐg-s-,Iranian,"[jav. baxšaiti ‘teilt aus’, baxšaite ‘bekommt als Anteil’{5}","notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2. – {5} Oder zu einer s-Erweiterung von *bʰag- (aus dem s-Aor.?), jedenfalls ist keine Spur desiderativer Bedeutung mehr zu erkennen."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",reduplicated sé-desiderative,0,?*bʰi-bʰg-sé-,Indic,"ved. bhíkṣate ‘wünscht, (er)bettelt’{6}","notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2. – {6} *‘Anteil bekommen wollen’; daraus Neowurzel bhikṣ abstrahiert: z.B. Perf. bibhikṣe Chr̥."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",s-aorist,1,–,Indic,"ved. bhāk ‘teilt zu’, ábhakṣi ‘habe Anteil bekommen’{7}","notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2. – {7} Vgl. NARTEN 179-80; Neubildung schon uriir."
*bʰag-{1},‘als Anteil bekommen’{2},IEW 107,"B. S., M. K.",s-aorist,1,–,Iranian,"aav. Konj. baxšaiti ‘soll zuteilen’, 3s Inj. Med. baxštā ‘nimmt Anteil’","notes: {1} Oder *bʰeg-, wenn /a/ in gr. ἔφαγον Schwa secundum ist; für altes *a spricht jedoch toch.B pāke, A pāk m. ‘Anteil’ = ved. bhága- m. ‘Wohlstand, Besitz’ < *bʰágo- m. – {2} Zum Ansatz der Grundbedeutung vgl. GOTŌ 221-2."
*bʰedʰh₂-{1},"‘stechen, graben’",IEW 113-4,"B. S., M. K.",root,0,*bʰedʰh₂-{1},PIE,"PIE *bʰedʰh₂-{1} ‘stechen, graben’","notes: {1} Heth. dd spricht für *°h₂-, lat. fodiō und PPP fossus dagegen (doch sind beide wohl sekundär gebildet, vielleicht erst nach dem Schwund des Laryngals); vielleicht liegt im Heth. eine Wurzelerweiterung vor (JASANOFF, Heth. u. Idg. 8725)."
*bʰedʰh₂-{1},"‘stechen, graben’",IEW 113-4,"B. S., M. K.",e-reduplicated athematic present,0,*bʰé-bʰodʰh₂/bʰdʰh₂-,Anatolian,?[heth. paddai ‘gräbt’{2},"notes: {1} Heth. dd spricht für *°h₂-, lat. fodiō und PPP fossus dagegen (doch sind beide wohl sekundär gebildet, vielleicht erst nach dem Schwund des Laryngals); vielleicht liegt im Heth. eine Wurzelerweiterung vor (JASANOFF, Heth. u. Idg. 8725). – {2} Zur Lesung und Lautung s. MELCHERT, AHP 33-4 mit Lit.; dd für *dʰ ist nur aus einer Gruppe *dʰh₂ erklärbar, vgl. JASANOFF, l.c. 87; MELCHERT, AHP 77."
