,root,category,branch,language,questionable,reflex,meaning,notes,expanded_notes,original_text
0,*bʰag-{1},root aorist,Greek,gr.,false,ἔφαγον,aß (auf),3,"3: Suppl. zu ἐσθίω bzw. ἔδω, s. *h₁ed-.",[gr. ἔφαγον ‘aß (auf)’{3}
1,*bʰag-{1},full-grade e-present,Indic,ved.,false,bhájati,teilt zu,,,"ved. bhájati ‘teilt zu’, bhájate ‘bekommt Anteil’"
2,*bʰag-{1},full-grade e-present,Indic,ved.,false,bhájate,bekommt Anteil,,,"ved. bhájati ‘teilt zu’, bhájate ‘bekommt Anteil’"
3,*bʰag-{1},full-grade e-present,Iranian,jav.,false,bažat̰,"teilt zu, verteilt",,,"jav. bažat̰ ‘teilt zu, verteilt’"
4,*bʰag-{1},éi̯e-causative–iterative,Indic,ved.,false,bhājáyati,läßt Anteil nehmen,,,ved. bhājáyati ‘läßt Anteil nehmen’
5,*bʰag-{1},perfect,Indic,ved.,false,bhejé,hat (als Anteil bekommen),3a,3a,"ved. bhejé ‘hat (als Anteil bekommen)’, babhā́ja ‘hat zugeteilt’{3a}"
6,*bʰag-{1},perfect,Indic,ved.,false,babhā́ja,hat zugeteilt,3a,3a,"ved. bhejé ‘hat (als Anteil bekommen)’, babhā́ja ‘hat zugeteilt’{3a}"
7,*bʰag-{1},s-desiderative,Indic,ved.,false,abhakṣayam,"genoß, trank",4,"4: Falls Iterativbildung zu einem Desider. *bhákṣa- (das im Ved. nicht sicher belegt ist, s. GOTŌ 222469) und nicht mit EWAia II 239 denominativ zu bhakṣá- m. ‘Genuß, Trank, Speise’.","[ved. abhakṣayam ‘genoß, trank’{4}"
8,*bʰag-{1},s-desiderative,Iranian,jav.,false,baxšaiti,teilt aus,5,"5: Oder zu einer s-Erweiterung von *bʰag- (aus dem s-Aor.?), jedenfalls ist keine Spur desiderativer Bedeutung mehr zu erkennen.","[jav. baxšaiti ‘teilt aus’, baxšaite ‘bekommt als Anteil’{5}"
9,*bʰag-{1},s-desiderative,Iranian,jav.,false,baxšaite,bekommt als Anteil,5,"5: Oder zu einer s-Erweiterung von *bʰag- (aus dem s-Aor.?), jedenfalls ist keine Spur desiderativer Bedeutung mehr zu erkennen.","[jav. baxšaiti ‘teilt aus’, baxšaite ‘bekommt als Anteil’{5}"
10,*bʰag-{1},reduplicated sé-desiderative,Indic,ved.,false,bhíkṣate,"wünscht, (er)bettelt",6,6: *‘Anteil bekommen wollen’; daraus Neowurzel bhikṣ abstrahiert: z.B. Perf. bibhikṣe Chr̥.,"ved. bhíkṣate ‘wünscht, (er)bettelt’{6}"
11,*bʰag-{1},s-aorist,Indic,ved.,false,bhāk,teilt zu,,,"ved. bhāk ‘teilt zu’, ábhakṣi ‘habe Anteil bekommen’{7}"
