,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
0,"ad(u)-, ad-ro-",Avest.,aδu,"Wasserlauf, Bach, Kanal",,,"Watercourse, stream, canal",
1,"ad(u)-, ad-ro-",ven.-ill.,Addua,FlN,zum Po,,,to the Po (referring to a river in Italy)
2,"ad(u)-, ad-ro-",ven.-ill.,*Aduli̯a > Attel,FlN,zur Donau in Bayern,,,to the Danube in Bavaria
3,"ad(u)-, ad-ro-",ven.-ill.,Mons Adulas,St. Gotthard,wohl nach den dort entspringenden Flüssen benannt,,,probably named after the rivers originating there
4,"ad(u)-, ad-ro-",ven.-ill.,"*Adra > Attersee, Attergau",,,,,
5,"ad(u)-, ad-ro-",ven.-ill.,Adrana > Eder,,Hessen,,,Hessen
6,"ad(u)-, ad-ro-",ven.-ill.,Adria,ON,"in Venetien, danach das mare Adriaticum",,,"in Venetia, then the Adriatic Sea (mare Adriaticum)"
7,"ad(u)-, ad-ro-",ven.-ill.,Ἀδρανός,FlN,der sizil. FlN,,,the Sicilian river name
8,"ad(u)-, ad-ro-",ven.-ill.,Οὐι-αδούας,FlN,Name der Oder,,,Name of the Oder (referring to a river in Central Europe)
9,"ad(u)-, ad-ro-",lett.,Adula,FlN,,,,
0,ā̆g̑-,Ai.,ajá-ḥ,Ziegenbock,,,"Male goat, specifically a billy goat",
1,ā̆g̑-,Ai.,ajā́,Ziege,,,Female goat,
2,ā̆g̑-,mpers.,azak,Ziege,,,Female goat,
3,ā̆g̑-,npers.,azg,Ziege,,,Female goat,
4,ā̆g̑-,alb.,dhī́,Ziege,"G. Meyer BB. 8, 186, Pedersen KZ. 36, 320, 335; wohl aus \*adhi, wie \sii 'Auge' aus \asii",,Female goat,"G. Meyer BB. 8, 186, Pedersen KZ. 36, 320, 335; probably from \*adhi\, like \sii\ 'eye' from \asii\"
5,ā̆g̑-,lit.,ožỹs,Ziegenbock,*āĝi̯os,,"Male goat, particularly a billy goat",\*āĝi̯os\
6,ā̆g̑-,lit.,ožkà,Ziege,,,Female goat,
7,ā̆g̑-,apr.,wosee,Ziege,,,Female goat,
8,ā̆g̑-,apr.,wosux,Ziegenbock,,,"Male goat, especially a billy goat",
9,ā̆g̑-,ai.,ajína-m,Fell,,,Fur or hide (referring to a goat's fur),
10,ā̆g̑-,lit.,ožìnis,zum Ziegenbock gehörig,,,Belonging to the billy goat (pertaining to a male goat or attributes of a male goat),
11,ā̆g̑-,lit.,ožíena,Ziegenbockfleisch,,,Goat meat (specifically from a billy goat),
12,ā̆g̑-,ksl.,(j)azno,"Haut, Leder",*azьno,,"Skin, leather",\*azьno\
0,ag̑h-,Ai.,ahī,Kuh,,,Cow,
1,ag̑h-,av.,azī,trächtig (von Kühen und Stuten),f. Adj.,,Pregnant (referring to cows and mares),f. adj.
2,ag̑h-,mir.,ag,"Rind, Kuh","(s-St.) m., f.",,"Cattle, cow","(s-St.) m., f."
3,ag̑h-,mir.,ag allaid,Hirsch,(eigentlich 'wilder Ochse'),,"Deer, stag",actually 'wild ox'
4,ag̑h-,mir.,ál,"Brut, Wurf",(*aglo-),,"Offspring, litter (referring to animals)",\*aglo-\
5,ag̑h-,cymr.,ael,"Brut, Wurf",,,"Offspring, litter (referring to animals)",
6,ag̑h-,mcymr.,aelaw,Reichtum,,,"Wealth, abundance",
7,ag̑h-,mcymr.,eilion,"Damwild, Pferde",(*agliones),,"Fallow deer, horses",\*agliones\
8,ag̑h-,arm.,ezn,Rind,mit \e\-Vokalismus?,the ? is indicating that Pokorny isn't sure this word goes here (not that it has e-Vocalism),"Cattle, cow",with \e\-vocalism?
0,agh-(lo-),Got.,agls,αἰσχρός 'schimpflich',,,"αἰσχρός 'shameful, disgraceful'",
1,agh-(lo-),Got.,agliþa,Drangsal,,,"Distress, torment",
2,agh-(lo-),Got.,aglō,Drangsal,,,"Distress, torment",
3,agh-(lo-),Got.,us-agljan,bedrängen,,,"To press, oppress, distress",
4,agh-(lo-),ags.,eg(e)le,"widerwärtig, beschwerlich, bedauerlich",,,"Repugnant, burdensome, regrettable",
5,agh-(lo-),ags.,eglan,Schmerz zufügen,engl. ail 'schmerzen; unpäßlich sein',,To inflict pain,engl. \ail\ 'to have pain; to be unwell'
6,agh-(lo-),ags.,eglian,schmerzlich empfunden werden,,,To be felt painfully,
7,agh-(lo-),mnd.,egelen,Gram verursachen,,,To cause grief,
8,agh-(lo-),Got.,aglus,"disgusting, unpleasant","Adv. agluba 'δύσκολος, δυσκόλως, schwierig'",,"Disgusting, unpleasant","Adv. \agluba\ 'δύσκολος, δυσκόλως, schwierig'"
9,agh-(lo-),Got.,aglaitei,"ἀσέλγεια, Unzucht",mit rätselhaftem Suffix,,"ἀσέλγεια, lewdness, indecency",with a mysterious suffix
10,agh-(lo-),ahd.,agaleizi,Unbequemlichkeit; Eifer,,,Inconvenience; Zeal,
11,agh-(lo-),ahd.,agaleizo,"emsig, eifrig",,,"Diligent, industrious; Eager, zealous",
12,agh-(lo-),as.,aglēto,"emsig, eifrig",,,"Diligent, industrious; Eager, zealous",
12,agh-(lo-),as.,agalēto,"emsig, eifrig",,,"Diligent, industrious; Eager, zealous",
13,agh-(lo-),ai.,aghá,böse,"n. 'Übel, Schaden'",Möglicherweise = ?,"Evil, wicked","n. 'evil, damage'"
13,agh-(lo-),av.,aɣō-,böse,"n. 'Übel, Schaden'",Möglicherweise = ?,"Evil, wicked","n. 'evil, damage'"
14,agh-(lo-),ai.,aghalá-,schlimm,,,"Bad, severe",
15,agh-(lo-),mir.,ālad,Wunde,*agloton,,Wound,\*agloton\
16,agh-(lo-),mcymr.,aele(u),schmerzhaft,,,Painful,
17,agh-(lo-),mcymr.,aeleu,Schmerz,"*aglou̯-, m.",,Pain,"\*aglou̯-\, m."
0,aghl(u)-,Gr.,ἀχλύ̄ς,"Nebel, Dunkel",,,"Fog, mist; Dark",
1,aghl(u)-,apr.,aglo,Regen,u-St.,,Rain,\u\-st.
,,,,,,,,
3,aghl(u)-,arm.,ałjałj,Dunkel,"< *alj-, Meillet MSL. 10, 279",,Dark,"< \*alj-\, Meillet MSL. 10, 279"
4,aghl(u)-,arm.,ałjamułjkh,Dunkel,"Meillet MSL. 10, 279",,Dark,"Meillet MSL. 10, 279"
0,"agro-, egro-?",Ai.,ágra-,Spitze,,,"Tip, point; ",
1,"agro-, egro-?",Ai.,agrē,"an der Spitze, auch zeitlich 'im Anfang zuerst'",(Lok.),,"At the forefront, also temporally ""at first""",loc.
2,"agro-, egro-?",Ai.,agrimá-,der erste,,,The first (masculine),
3,"agro-, egro-?",av.,aɣra-,"der erste, oberste nach Zeit Raum usw., Anfang; das oberste, Spitze (n.)",,,"The first, topmost in terms of time, space, etc.; Beginning; The uppermost, top (neuter)",
4,"agro-, egro-?",lett.,agrs,frühe,Adj.,,Early (adverb),adj.
5,"agro-, egro-?",lett.,agri,"früh, frühzeitig",Adv.,,"Early, prematurely",adv.
6,"agro-, egro-?",lett.,agrums,die Frühe,,,The early morning,
7,"agro-, egro-?",lat.,Agrippa,PN,"Ob hierher der lat. MN Agrippa aus *agri-p(e)d- `der mit den Füßen zuerst zur Welt kommt', W. Schulze KZ. 32, 172^^1^^, zweifelnd Lat. Eig. 230^^5^^?",vielleicht = ?,,"Whether the Latin MN Agrippa comes here from \*agri-p(e)d-\ `the one who comes into the world feet first', W. Schulze KZ. 32, 172^^1^^, doubting Lat. Eig. 230^^5^^?"
