,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
0,gu̯or-gu̯(or)o-,arm.,kork,Schmutz,,,Dirt,
1,gu̯or-gu̯(or)o-,gr.,βόρβορος,"Schlamm, Schmutz, Kot, Mist",,,"Mud, dirt, feces, rubbish",
0,"gu̯ozd(h)o-, gu̯ozd(h)i-",Gallorom.,bottos,Radnabe,M-L. 1229a,,Wheel hub,M-L. 1229a [UNKNOWN]
1,"gu̯ozd(h)o-, gu̯ozd(h)i-",cymr.,both,"Radnabe, Schildbuckel",,,"Wheel hub, shield boss",
2,"gu̯ozd(h)o-, gu̯ozd(h)i-",mir.,bot,"Schwanz, penis",m.,,"Tail, penis",m.
3,"gu̯ozd(h)o-, gu̯ozd(h)i-",nir.,bod,"Schwanz, penis",m.,,"Tail, penis",m.
4,"gu̯ozd(h)o-, gu̯ozd(h)i-",abg.,gvozdь,Nagel,,,Nail,
5,"gu̯ozd(h)o-, gu̯ozd(h)i-",poln.,g(w)ózdź,Nagel,,,Nail,
6,"gu̯ozd(h)o-, gu̯ozd(h)i-",čech.,hvozděj,Durchschlagholz,,,Perforated wood,
7,"gu̯ozd(h)o-, gu̯ozd(h)i-",poln.,g(w)oździk,Nelke,,,Carnation,
8,"gu̯ozd(h)o-, gu̯ozd(h)i-",čech.,hvozdík,Nelke,,,Carnation,
0,gu̯reig̑-,gr.,βρίζω,"schlafe, bin untätig",*βριγι̯ω,,"sleep, am inactive",*βριγι̯ω [UNKNOWN]
1,gu̯reig̑-,gr.,ἔβριξα,"schlafe, bin untätig",,,"sleep, am inactive",
2,gu̯reig̑-,gr.,ἀβρίξ,ἐγρηγόρως,Hes.,,I have been awake.,Hes. [UNKNOWN]
,,,,,,,,
4,gu̯reig̑-,russ.,grézitь,"im Schlaf reden, phantasieren","kaum *grez-, eher *grьz-",,"talking in one's sleep, fantasizing","kaum *grez-, eher *grьz-"
5,gu̯reig̑-,russ.,grëza,"Traum, Faseln, alberne Reden",Sehr unsicher; s. auch Berneker 351.,sehr unsicher = very uncertain,"Dream, babbling, silly talks",Very uncertain; see also Berneker 351.
0,"gu̯rēug̑h-, gu̯rū̆g̑h-",gr.,βρύ̄χω,knirsche mit den Zähnen,"daneben durch Entgleisung aus βρύξω, ἔβρυξᾱ, βρύ̄κω 'beiße'",,I am grinding my teeth.,"daneben durch Entgleisung aus βρύξω, ἔβρυξᾱ, βρύ̄κω 'beiße' [UNKNOWN]"
1,"gu̯rēug̑h-, gu̯rū̆g̑h-",gr.,βρύγδην,beißend,,,biting,
2,"gu̯rēug̑h-, gu̯rū̆g̑h-",gr.,βρυγμός,Zähneknirschen,,,Teeth grinding,
3,"gu̯rēug̑h-, gu̯rū̆g̑h-",gr.,βρῡχετός,kaltes Fieber,('Zähneklappern'),,cold fever,Chattering of teeth
4,"gu̯rēug̑h-, gu̯rū̆g̑h-",air.,brōn,Kummer,,,Worry or grief,
5,"gu̯rēug̑h-, gu̯rū̆g̑h-",cymr.,brwyn,stechender Schmerz,urkelt. *brŭgnos,,stabbing pain,urkelt. *brŭgnos [UNKNOWN]
6,"gu̯rēug̑h-, gu̯rū̆g̑h-",lit.,"gráužiu, gráužti",nagen,,,gnaw,
,,,,,,,,
8,"gu̯rēug̑h-, gu̯rū̆g̑h-",lit.,sugrùžinti,vernichten,,,to annihilate/destroy,
9,"gu̯rēug̑h-, gu̯rū̆g̑h-",aksl.,"gryzǫ, grysti",nagen,in andern slav. Sprachen auch von nagendem Kummer; hierher wohl auch sloven. \grúže Pl. f. 'Krätze',,gnaw,in other Slavic languages also means nagging sorrow; probably also Slovenian \grúže\ plural feminine 'scabies'
,,,,,,,,
11,"gu̯rēug̑h-, gu̯rū̆g̑h-",russ.,grustь,Kummer,Zu gryzǫ wahrscheinlich,,Worry or grief,Zu gryzǫ [UNKNOWN]
12,"gu̯rēug̑h-, gu̯rū̆g̑h-",sloven.,grûst,Ekel,Zu gryzǫ wahrscheinlich,,Disgust,Zu gryzǫ [UNKNOWN]
0,g̑hu̯elg-,gr.,θέλγω,"bezaubere, umschmeichle",unwahrscheinlich oben S. 247,,"enchant, flatter",unlikely above p. 247
1,g̑hu̯elg-,lit.,"žvelgiù, žvel̃gti",anblicken,,,To look at,
2,g̑hu̯elg-,lit.,"žvalgaũ, žvalgýti","to glance, look at",Iterat.,,"to glance, look at",Iterat. [UNKNOWN]
3,g̑hu̯elg-,lit.,žvil̃gis,Blick,m.,,View,m.
4,g̑hu̯elg-,lit.,"žvìlgiu, žvilgė́ti",kurz hinblicken,,,take a quick look,
0,gu̯hemb-,gr.,ἀθεμβοῦσα,ἀκολασταίνουσα ('ausgelassen'),Hes.,,being boisterous,Hes. [UNKNOWN]
,,,,,,,,
2,gu̯hemb-,mhd.,gampen,springen,,,jump,
3,gu̯hemb-,mhd.,gumpen,springen,,,jump,
4,gu̯hemb-,mhd.,gampel,"lustiges mutwilliges Springen, Possenspiel",,,"funny willful jumping, farce",
5,gu̯hemb-,mhd.,gumpel,"lustiges mutwilliges Springen, Possenspiel",,,"funny willful jumping, farce",
6,gu̯hemb-,mhd.,gümpel,Gimpel,,,Gimpel,
7,gu̯hemb-,nhd.,Gimpel,Gimpel,,,Gimpel,
8,gu̯hemb-,mhd.,gampf,das Schwanken,mit oberdeutscher Lautverschiebung,,the swaying,with Upper German sound shift
9,gu̯hemb-,norw. dial.,gimpa,"wippen, schaukeln",,,"rocking, swinging",
10,gu̯hemb-,norw. dial.,gamp,"großer schwerfälliger Kerl, plumpes Pferd",m.,,"big clumsy guy, chubby horse",m.
11,gu̯hemb-,aisl.,gaman,"Freude, Lustigkeit, Wollust",Eine kürzere Wzf. gʷhem- vielleicht in,,"Joy, merriment, lust",A shorter word form gʷhem- perhaps in [UNKNOWN]
12,gu̯hemb-,ahd.,gaman,"Freude, Lustigkeit, Wollust",Eine kürzere Wzf. gʷhem- vielleicht in,,"Joy, merriment, lust",A shorter word form gʷhem- perhaps in [UNKNOWN]
0,g̑hu̯en-,arm.,jain,Stimme,"*ĝhu̯on-\i̯i-, i-St. mit i-Epenthese",,Voice,"*ĝhu̯on-\i̯i-, i-class with i-epenthesis."
1,g̑hu̯en-,tosk.,zē̈,Stimme,,,Voice,
2,g̑hu̯en-,geg.,zâ,Stimme,ĝhu̯ono-s,,Voice,ĝhu̯ono-s [UNKNOWN]
