,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
0,kelg-,kelg-,mir.,celg,"List, Verrat",,,"Deception, betrayal",
1,kelg-,kelg-,cymr.,celg,Verhehlen,borrowed from MIr. \celg\,,Conceal,borrowed from MIr. \celg\
2,kelg-,kelg-,arm.,kełck',Heuchelei,ist im Konsonantismus unklar,,Hypocrisy,is unclear in consonantism
3,kelg-,kelg-,ags.,hylc,"Krümmung, Windung",ablautend ags.,,"Curvature, winding",ablauting Old English
,,,,,,,,,
5,kelg-,kelg-,poln.,czołgać się,"kriechen, gleiten, sich schleppen",from slav. /*čъlgati/,,"crawl, slide, drag",from Slavic /*čъlgati/
0,"kelp-, kl̥p-","kelp-, kl̥p-",gr.,"κάλπις, -ιδος",Krug; Aschenurne,,,Jug; ash urn,
1,"kelp-, kl̥p-","kelp-, kl̥p-",gr.,κάλπη,Krug; Aschenurne,f.,,Jug; ash urn,f. [UNKNOWN]
2,"kelp-, kl̥p-","kelp-, kl̥p-",lat.,"calpar, -āris",Weinfaß,"*calp-āli-, wohl lat. Weiterbildung des gr. κάλπᾱ",,Wine barrel,"*calp-āli-, probably Latin derivation of Greek κάλπᾱ"
3,"kelp-, kl̥p-","kelp-, kl̥p-",air.,cilornn,urna,*kelpurno-,,urn,*kelpurno- [UNKNOWN]
4,"kelp-, kl̥p-","kelp-, kl̥p-",air.,cilurnn,urna,*kelpurno-,,urn,*kelpurno- [UNKNOWN]
5,"kelp-, kl̥p-","kelp-, kl̥p-",cymr.,celwrn,Milcheimer,,,Milk bucket,
6,"kelp-, kl̥p-","kelp-, kl̥p-",bret.,kelorn,Kübel,,,Bucket,
7,"kelp-, kl̥p-","kelp-, kl̥p-",brit. ON,Celurnum,"jug, pot, cauldron",,,"jug, pot, cauldron",
0,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",ai.,śámyā,"Stock, Zapfen, Holznagel, Stütznagel",,,"Stick, cone, wooden nail, support nail",
1,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",av.,simā,ein Teil vom Geschirr des mit Pferden bespannten Wagens,(-i- scheint idg. ə; oder = ai. śámyā?),,a part of the harness of the horse-drawn carriage,(-i- seems to be idg. ə; or = ai. śámyā?)
2,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",npers.,sīm,ein Teil vom Geschirr des mit Pferden bespannten Wagens,,,a part of the harness of the horse-drawn carriage,
3,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",arm.,sami-k',Stirnholz des Ochsenjochs,pl.; iran. Lw.?,,Endgrain of the Ochsenjoch (a mountain pass),pl.; Iran Lw.?
4,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",gr.,κάμαξ,"Stange, Pfahl, Schaft des Speeres",,,"Pole, stake, shaft of the spear",
5,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",dän.,hammel,das Querstück vorn am Wagen,,,the crosspiece at the front of the carriage,
6,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",schwed.,hammel,das Querstück vorn am Wagen,,,the crosspiece at the front of the carriage,
7,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",norw. dial.,humul,das Querstück vorn am Wagen,(-hǫmull),,the crosspiece at the front of the carriage,(-hǫmull) [UNKNOWN]
8,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",mhd.,hamel,"Stange, Klotz",,,"Rod, block",
9,k̂em-1 oder k̂am-,"1. k̑em-, or k̑am-",lat.,camox,Gemse,"über das schwierige lat. \camox\, vorrom. \*kamōsso-\, s. jetzt J. Hubschmid ZrPh. 66, 9ff.","form mentioned, but should be marked as 'difficult' or not related to this root",Chamois,"about the difficult Latin \camox\, pre-Roman \*kamōsso-\, see now J. Hubschmid ZrPh. 66, 9ff."
0,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",ahd.,hemera,Nieswurz,(*hamirō),,Hellebore,(*hamirō [UNKNOWN])
1,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",nhd. dial.,hemern,Nieswurz,,,Hellebore,
2,"kemero-, komero-, k↓↓e↓↓mero-","kemero-, komero-, kemero-",r.-ksl.,čemerъ,Gift,(ursprüngl. der Nieswurz),,Poison,(orig. the Black hellebore)
