,web_root,root,abbr,reflex,meaning,notes
0,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",Avest.,adu,"Wasserlauf, Bach, Kanal",
1,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",ven.-ill.,Addua,zum Po,
2,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",ven.-ill.,*Aduli̯a > Attel,zur Donau in Bayern,
3,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",ven.-ill.,Mons Adulas,St. Gotthard,wohl nach den dort entspringenden Flüssen benannt
4,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",ven.-ill.,"*Adra > Attersee, Attergau",,
5,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",ven.-ill.,Adrana > Eder,Hessen,
6,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",ven.-ill.,Adria,in Venetien,danach das mare Adriaticum
7,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",ven.-ill.,Ἀδρανός,,der sizil. FlN
8,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",ven.-ill.,Οὐι-αδούας,Name der Oder,
9,"ad(u)-, ad-ro-","ad(u)-, ad-ro-",lett.,Adula,"current, water course",
0,ā̆ĝ-,ā̆g̑-,Ai.,ajá-ḥ,Ziegenbock,
1,ā̆ĝ-,ā̆g̑-,Ai.,ajā́,Ziege,
2,ā̆ĝ-,ā̆g̑-,Ai.,azak,Ziege,
3,ā̆ĝ-,ā̆g̑-,Ai.,azg,Ziege,
4,ā̆ĝ-,ā̆g̑-,alb.,dhī́,Ziege,"G. Meyer BB. 8, 186, Pedersen KZ. 36, 320, 335; wohl aus *adhi, wie sii 'Auge' aus asii"
5,ā̆ĝ-,ā̆g̑-,lit.,ožỹs,Ziegenbock,*āĝi̯os
6,ā̆ĝ-,ā̆g̑-,lit.,ožkà,Ziege,
7,ā̆ĝ-,ā̆g̑-,lit.,wosee,Ziege,
8,ā̆ĝ-,ā̆g̑-,lit.,wosux,Ziegenbock,
9,ā̆ĝ-,ā̆g̑-,ai.,ajína-m,Fell,
10,ā̆ĝ-,ā̆g̑-,lit.,ožìnis,zum Ziegenbock gehörig,
11,ā̆ĝ-,ā̆g̑-,lit.,ožíena,Ziegenbockfleisch,
12,ā̆ĝ-,ā̆g̑-,ksl.,(j)azno,"Haut, Leder",*azьno
0,aĝh-,ag̑h-,Ai.,ahī,Kuh,
1,aĝh-,ag̑h-,av.,azī,trächtig (von Kühen und Stuten),
2,aĝh-,ag̑h-,mir.,ag,"Rind, Kuh","(s-St.) m., f."
3,aĝh-,ag̑h-,mir.,ag allaid,Hirsch,(eigentlich 'wilder Ochse')
4,aĝh-,ag̑h-,mir.,ál,"Brut, Wurf",(*aglo-)
5,aĝh-,ag̑h-,cymr.,ael,"Brut, Wurf",
6,aĝh-,ag̑h-,mcymr.,aelaw,Reichtum,
7,aĝh-,ag̑h-,mcymr.,eilion,"Damwild, Pferde",(*agliones)
8,aĝh-,ag̑h-,arm.,ezn,Rind,mit e-Vokalismus?
0,agh-(lo-),agh-(lo-),Got.,agls,αἰσχρός 'schimpflich',
1,agh-(lo-),agh-(lo-),Got.,agliþa,"disgusting, unpleasant",
2,agh-(lo-),agh-(lo-),Got.,aglō,Drangsal,
