,id,old_id,order,page_number,entry,gloss,created_at,updated_at,created_by,updated_by,lexicon_id,extra_data
0,2223,0001,10,1,"<p>ā</p>
",(an exclamation),2015-04-16 07:59:11,2015-05-04 14:49:46,loader,babao,1,
1,2224,0002,20,1,ab-,"water, river",2015-04-16 07:59:12,2015-04-16 07:59:12,loader,loader,1,
2,2225,0003,30,1-2,"ā̆bel-, ā̆bō̆l-, ab<sub>e</sub>l-",<b>apple</b>,2015-04-16 07:59:12,2015-04-16 07:59:12,loader,loader,1,
3,2226,0004,40,2,abh-,"swift, quick, abrupt",2015-04-16 07:59:14,2015-04-16 07:59:14,loader,loader,1,
4,2227,0005,50,2,abhro-,"strong, mighty",2015-04-16 07:59:14,2015-04-16 07:59:14,loader,loader,1,
5,2228,0006,60,2-3,abō(n),"<b>ape</b>, monkey",2015-04-16 07:59:14,2015-04-16 07:59:14,loader,loader,1,
6,2229,0007,70,3,1. ad-,"<b>at</b>, by, to",2015-04-16 07:59:15,2015-04-16 07:59:15,loader,loader,1,
7,2230,0008,80,3,2. ad-,"to fix, put in order",2015-04-16 07:59:16,2015-04-16 07:59:16,loader,loader,1,
8,2231,0009,90,3,"ades-, ados-",spelt (type of grain),2015-04-16 07:59:17,2015-04-16 07:59:17,loader,loader,1,
9,2232,0010,100,4,"ad(u)-, ad-ro-","current, water course",2015-04-16 07:59:17,2015-04-16 07:59:17,loader,loader,1,
10,2233,0011,110,4-6,ag̑-,"to lead, drive, <b>agitate</b>",2015-04-16 07:59:17,2015-04-16 07:59:17,loader,loader,1,
11,2234,0012,120,6-7,ā̆g̑-,goat,2015-04-16 07:59:28,2015-04-16 07:59:28,loader,loader,1,
12,2235,0013,130,7,ag̑h-,animal that may bear young,2015-04-16 07:59:28,2015-04-16 07:59:28,loader,loader,1,
13,2236,0014,140,7,"ā̆g̑her-, ā̆g̑hen-, ā̆g̑hes-, or ō̆g̑her etc.","<b>day</b>, <b>dawn</b>",2015-04-16 07:59:28,2015-04-16 07:59:28,loader,loader,1,
14,2237,0015,150,7-8,agh-,"to <b>ail</b>, fear, be depressed",2015-04-16 07:59:31,2015-04-16 07:59:31,loader,loader,1,
15,2238,0016,160,8,agh-(lo-),"disgusting, unpleasant",2015-04-16 07:59:33,2015-04-16 07:59:33,loader,loader,1,
16,2239,0017,170,8,aghl(u)-,dark cloud; rainy weather,2015-04-16 07:59:33,2015-04-16 07:59:33,loader,loader,1,
17,2240,0018,180,8,agos-,"sin, guilt; fault, blemish",2015-04-16 07:59:33,2015-04-16 07:59:33,loader,loader,1,
18,2241,0019,190,8-9,"agro-, egro-?","first, highest; apex, beginning",2015-04-16 07:59:34,2015-04-16 07:59:34,loader,loader,1,
19,2242,0020,200,9,ag̑ro-s,"field, <b>acre</b>",2015-04-16 07:59:34,2015-04-16 07:59:34,loader,loader,1,
20,2243,0021,210,9,"ag<sup>u̯</sup>(e)sī, aksī",<b>axe</b>,2015-04-16 07:59:36,2015-04-16 07:59:36,loader,loader,1,
21,2244,0022,220,9,ag<sup>u̯</sup>h-no-s,lamb,2015-04-16 07:59:37,2015-04-16 07:59:37,loader,loader,1,
22,2245,0023,230,10,1. ai,(an exclamation),2015-04-16 07:59:37,2015-04-16 07:59:37,loader,loader,1,
23,2246,0024,240,10,2. ai-,"to drive, close in; harm, overwhelm",2015-04-16 07:59:37,2015-04-16 07:59:37,loader,loader,1,
24,2247,0025,250,10,3. ai-,to give,2015-04-16 07:59:37,2015-04-16 07:59:37,loader,loader,1,
25,2248,0026,260,10-11,"ai-ti-, ai-to-, oi-to-","part, portion",2015-04-16 07:59:38,2015-04-16 07:59:38,loader,loader,1,
26,2249,0027,270,11,4. ā̆i-,"to burn, shine",2015-04-16 07:59:38,2015-04-16 07:59:38,loader,loader,1,
27,2250,0028,280,11,5. ai- : oi-,"<b>oath</b>, significant speech",2015-04-16 07:59:38,2015-04-16 07:59:38,loader,loader,1,
28,2251,0029,290,11,aid-,to swell; strong,2015-04-16 07:59:39,2015-04-16 07:59:39,loader,loader,1,
29,2252,0030,300,11-12,"ai-dh-, i-dh-, nasalized i-n-dh-","to burn, shine",2015-04-16 07:59:39,2015-04-16 07:59:39,loader,loader,1,
30,2253,0031,310,12,"ā̆ier-, ā̆ien-","day(light), morning",2015-04-16 07:59:40,2015-04-16 07:59:40,loader,loader,1,
31,2254,0032,320,13,aig̑-,goat,2015-04-16 07:59:41,2015-04-16 07:59:41,loader,loader,1,
32,2255,0033,330,13,"1. aig-, nasalized ing-","ill, sick; depressed, dispirited",2015-04-16 07:59:41,2015-04-16 07:59:41,loader,loader,1,
33,2256,0034,340,13,2. aig-,<b>oak</b>,2015-04-16 07:59:42,2015-04-16 07:59:42,loader,loader,1,
34,2257,0035,350,13-14,3. aig-,"to swing, vibrate, move violently",2015-04-16 07:59:43,2015-04-16 07:59:43,loader,loader,1,
35,2258,0036,360,14,aig<sup>u̯</sup>h-,to be ashamed,2015-04-16 07:59:43,2015-04-16 07:59:43,loader,loader,1,
36,2259,0037,370,14-15,ā(i)g̑h- : īg̑h-,"to need, desire",2015-04-16 07:59:43,2015-04-16 07:59:43,loader,loader,1,
37,2260,0038,380,15,ā̆ik̑- : ī̆k̑-,"pike, spear, spit",2015-04-16 07:59:43,2015-04-16 07:59:43,loader,loader,1,
38,2261,0039,390,15,aik-,to call to,2015-04-16 07:59:44,2015-04-16 07:59:44,loader,loader,1,
39,2262,0040,400,15-16,ai̯os-,"<b>ore</b>, metal (copper, bronze, iron)",2015-04-16 07:59:44,2015-04-16 07:59:44,loader,loader,1,
40,2263,0041,410,16,ai-rā,(type of grass),2015-04-16 07:59:45,2015-04-16 07:59:45,loader,loader,1,
41,2264,0042,420,16,1. ais-,"to wish, desire, <b>ask</b>/search for",2015-04-16 07:59:45,2015-04-16 07:59:45,loader,loader,1,
42,2265,0043,430,16,2. ais-,"to respect, worship, be in awe",2015-04-16 07:59:45,2015-04-16 07:59:45,loader,loader,1,
43,2266,0044,440,16-17,aisk-,"clear, bright, shining",2015-04-16 07:59:46,2015-04-16 07:59:46,loader,loader,1,
44,2267,0045,450,17,ai-tro-,"sharp, bitter",2015-04-16 07:59:47,2015-04-16 07:59:47,loader,loader,1,
45,2268,0046,460,17-18,"aiu̯-, ai̯u-","vitality, life force",2015-04-16 07:59:47,2015-04-16 07:59:47,loader,loader,1,
46,2269,0047,470,18,"1. ak̑-, ak̑ō-",to eat,2015-04-16 07:59:51,2015-04-16 07:59:51,loader,loader,1,
47,2270,0048,480,18-22,"2. ak̑-, ok̑-","sharp, <b>acute</b>, angular; stone",2015-04-16 07:59:51,2015-04-16 07:59:51,loader,loader,1,
48,2271,0049,490,23,akkā,mama (nursery word),2015-04-16 07:59:59,2015-04-16 07:59:59,loader,loader,1,
49,2272,0050,500,23,ak̑ru,tear(drop),2015-04-16 07:59:59,2015-04-16 07:59:59,loader,loader,1,
50,2273,0051,510,23,ak<sup>u̯</sup>-,"to hurt, damage",2015-04-16 07:59:59,2015-04-16 07:59:59,loader,loader,1,
51,2274,0052,520,23,"ak<sup>u̯</sup>ā-, more accurately ək<sup>u̯</sup>ā, ēk<sup>u̯</sup>-","<b>aqua</b>, water, river",2015-04-16 07:59:59,2015-04-16 07:59:59,loader,loader,1,
52,2275,0053,530,24-26,"1. al-, ol-","beyond; other, <b>alien</b>",2015-04-16 08:00:03,2015-04-16 08:00:03,loader,loader,1,
53,2276,0054,540,26-27,2. al-,"to grow, nourish, <b>enhance</b>",2015-04-16 08:00:10,2015-04-16 08:00:10,loader,loader,1,
54,2277,0055,550,27-28,3. ā̆l-,"to roam, wander; be crazy/confused",2015-04-16 08:00:15,2015-04-16 08:00:15,loader,loader,1,
55,2278,0056,560,28,4. al-,to burn,2015-04-16 08:00:16,2015-04-16 08:00:16,loader,loader,1,
56,2279,0057,570,28-29,5. al-,"to mill, grind",2015-04-16 08:00:16,2015-04-16 08:00:16,loader,loader,1,
57,2280,0058,580,29,"6. al-, alōu- : aləu-","white, gleaming",2015-04-16 08:00:16,2015-04-16 08:00:16,loader,loader,1,
58,2281,0059,590,29,alā,<b>hello</b>! (greeting),2015-04-16 08:00:16,2015-04-16 08:00:16,loader,loader,1,
59,2282,0060,600,29,albhi-,barley,2015-04-16 08:00:16,2015-04-16 08:00:16,loader,loader,1,
60,2283,0061,610,30-31,albho-,"white, <b>albino</b>",2015-04-16 08:00:16,2015-04-16 08:00:16,loader,loader,1,
61,2284,0062,620,31-32,aldh-,trough,2015-04-16 08:00:19,2015-04-16 08:00:19,loader,loader,1,
62,2285,0063,630,32,aleq-,"to protect, ward off",2015-04-16 08:00:19,2015-04-16 08:00:19,loader,loader,1,
63,2286,0064,640,32,algh-,"cold, frost, <b>algidity</b>",2015-04-16 08:00:20,2015-04-16 08:00:20,loader,loader,1,
64,2287,0065,650,32-33,alg<sup>u̯</sup>h-,"to gain, earn; price, value",2015-04-16 08:00:20,2015-04-16 08:00:20,loader,loader,1,
65,2288,0066,660,33,alp-,"small, weak",2015-04-16 08:00:20,2015-04-16 08:00:20,loader,loader,1,
66,2289,0067,670,33,"ālu-, ālo-",a bitter plant?,2015-04-16 08:00:20,2015-04-16 08:00:20,loader,loader,1,
67,2290,0068,680,33-34,"alu-, alu-d-, alu-t-","bitter; <b>ale</b>, beer",2015-04-16 08:00:20,2015-04-16 08:00:20,loader,loader,1,
68,2291,0069,690,34-35,"ambhi, m̥bhi","around, at <b>both</b> sides",2015-04-16 08:00:21,2015-04-16 08:00:21,loader,loader,1,
69,2292,0070,700,35,"1. am-, mē-","to grab, seize",2015-04-16 08:00:27,2015-04-16 08:00:27,loader,loader,1,
70,2293,0071,710,35,"2. am-, mē-",to <b>mow</b>,2015-04-16 08:00:27,2015-04-16 08:00:27,loader,loader,1,
71,2294,0072,720,35,"āmer-, āmōr, āmr̥",day,2015-04-16 08:00:28,2015-04-16 08:00:28,loader,loader,1,
72,2295,0073,730,35-36,"ames-, or omes-","blackbird: <b>merl</b>, <b>ousel</b>",2015-04-16 08:00:28,2015-04-16 08:00:28,loader,loader,1,
73,2296,0074,740,36,amə-,to proceed energetically; firm up; suffer,2015-04-16 08:00:29,2015-04-16 08:00:29,loader,loader,1,
74,2297,0075,750,36,"am(m)a, amī̆","mama, <b>amah</b> (nursery word)",2015-04-16 08:00:29,2015-04-16 08:00:29,loader,loader,1,
75,2298,0076,760,36-37,1. an-,"relative, ancestor",2015-04-16 08:00:30,2015-04-16 08:00:30,loader,loader,1,
76,2299,0077,770,37-38,2. an-,"there, <b>other</b> side",2015-04-16 08:00:31,2015-04-16 08:00:31,loader,loader,1,
77,2300,0078,780,38-39,3. an(ə)-,"to breathe, respire, <b>animate</b>",2015-04-16 08:00:32,2015-04-16 08:00:32,loader,loader,1,
78,2301,0079,790,39-40,"4. an-, anu, anō, nō","<b>on</b>, along, over there",2015-04-16 08:00:34,2015-04-16 08:00:34,loader,loader,1,
79,2302,0080,800,40-41,"andh-, anedh-","to sprout, bloom, blossom; herb, <b>anther</b>",2015-04-16 08:00:35,2015-04-16 08:00:35,loader,loader,1,
80,2303,0081,810,41,"andher-, ṇdher-","stem, spike",2015-04-16 08:00:36,2015-04-16 08:00:36,loader,loader,1,
81,2304,0082,820,41,andho-,"blind, dark, <b>somber</b>",2015-04-16 08:00:36,2015-04-16 08:00:36,loader,loader,1,
82,2305,0083,830,41-42,anət-,"duck, <b>solan</b>",2015-04-16 08:00:37,2015-04-16 08:00:37,loader,loader,1,
83,2306,0084,840,42,"anətā, <sub>e</sub>nətā","<b>anta</b>, doorpost",2015-04-16 08:00:37,2015-04-16 08:00:37,loader,loader,1,
84,2307,0085,850,42-43,ang̑h-,"tight, narrow, <b>anguished</b>; to constrict",2015-04-16 08:00:38,2015-04-16 08:00:38,loader,loader,1,
85,2308,0086,860,43,ang̑hen-,"scent, smell, odor; person",2015-04-16 08:00:40,2015-04-16 08:00:40,loader,loader,1,
86,2309,0087,870,43-45,ang<sup>u̯</sup>(h)i-,"eel, worm, snake, serpent",2015-04-16 08:00:40,2015-04-16 08:00:40,loader,loader,1,
87,2310,0088,880,45,1. ank-,"force; need, necessity",2015-04-16 08:00:41,2015-04-16 08:00:41,loader,loader,1,
88,2311,0089,890,45-47,"2. ank-, ang-","to flex, bend, <b>angle</b>",2015-04-16 08:00:41,2015-04-16 08:00:41,loader,loader,1,
89,2312,0090,900,47,āno-,"ring, <b>annulus</b>",2015-04-16 08:00:43,2015-04-16 08:00:43,loader,loader,1,
90,2313,0091,910,47,ans-,"favorable, well inclined",2015-04-16 08:00:43,2015-04-16 08:00:43,loader,loader,1,
91,2314,0092,920,48,"ansā, ansi-","noose, snare; <b>ansa</b>, handle",2015-04-16 08:00:43,2015-04-16 08:00:43,loader,loader,1,
92,2315,0093,930,48,"ansu-, ṇsu-","ghost, spirit, demon",2015-04-16 08:00:44,2015-04-16 08:00:44,loader,loader,1,
93,2316,0094,940,48-50,ant-s,"brow, front, <b>anterior</b>",2015-04-16 08:00:44,2015-04-16 08:00:44,loader,loader,1,
94,2317,0095,950,50,antro-m,"cave, hollow",2015-04-16 08:00:49,2015-04-16 08:00:49,loader,loader,1,
95,2318,0096,960,50-51,"1. ap-, more accurately əp- : ēp-","to take, reach, grasp",2015-04-16 08:00:49,2015-04-16 08:00:49,loader,loader,1,
96,2319,0097,970,51-52,2. ā̆p-,"water, river",2015-04-16 08:00:52,2015-04-16 08:00:52,loader,loader,1,
97,2320,0098,980,52,"3. ap-, āp-","old, fragile; harm, damage",2015-04-16 08:00:52,2015-04-16 08:00:52,loader,loader,1,
98,2321,0099,990,52,appa,papa (nursery word),2015-04-16 08:00:52,2015-04-16 08:00:52,loader,loader,1,
99,2322,0100,1000,52,apelo-,strength,2015-04-16 08:00:52,2015-04-16 08:00:52,loader,loader,1,
100,2323,0101,1010,53,āpero-,"shore, bank (of river)",2015-04-16 08:00:53,2015-04-16 08:00:53,loader,loader,1,
101,2324,0102,1020,53-55,"apo-, pō̆, ap-u, pu","<b>off</b>, out of, away from",2015-04-16 08:00:53,2015-04-16 08:00:53,loader,loader,1,
102,2325,0103,1030,55,apsā,<b>aspen</b> (tree),2015-04-16 08:01:02,2015-04-16 08:01:02,loader,loader,1,
103,2326,0104,1040,55-61,"1. ar-, thematic (a)re-, heavy-base arə-, rē-, and i-base (a)rī̆-, rēi-","to fit, suit",2015-04-16 08:01:03,2015-04-16 08:01:03,loader,loader,1,
104,2327,0105,1050,61,"2. ar-, or er-","to share, distribute",2015-04-16 08:01:16,2015-04-16 08:01:16,loader,loader,1,
105,2328,0106,1060,61,3. ar-,nut,2015-04-16 08:01:16,2015-04-16 08:01:16,loader,loader,1,
106,2329,0107,1070,62,"4. ar, er, or?, r̥","now, therefore; (interrogative particle)",2015-04-16 08:01:16,2015-04-16 08:01:16,loader,loader,1,
107,2330,0108,1080,62,5. ar-,"to deny, refuse, renounce",2015-04-16 08:01:16,2015-04-16 08:01:16,loader,loader,1,
108,2331,0109,1090,62-63,ar(ə)-,"to <b>ear</b>, plow",2015-04-16 08:01:16,2015-04-16 08:01:16,loader,loader,1,
109,2332,0110,1100,63,ardh-,"pole, stake",2015-04-16 08:01:17,2015-04-16 08:01:17,loader,loader,1,
110,2333,0111,1110,63,"ardi-, r̥di-","tip, point, edge",2015-04-16 08:01:17,2015-04-16 08:01:17,loader,loader,1,
111,2334,0112,1120,64,areg-,"to lock, shut away",2015-04-16 08:01:17,2015-04-16 08:01:17,loader,loader,1,
112,2335,0113,1130,64-65,"ar(e)-g̑-, arg̑-?, r̥g̑i-","white, <b>argent</b>, glittering",2015-04-16 08:01:17,2015-04-16 08:01:17,loader,loader,1,
113,2336,0114,1140,65-66,areq-,"to lock, guard, protect",2015-04-16 08:01:20,2015-04-16 08:01:20,loader,loader,1,
114,2337,0115,1150,66-67,arenko-,(type of grain?),2015-04-16 08:01:21,2015-04-16 08:01:21,loader,loader,1,
115,2338,0116,1160,67,ario-?,"host, lord, master",2015-04-16 08:01:21,2015-04-16 08:01:21,loader,loader,1,
116,2339,0117,1170,67-68,arqu-,"<b>arc</b>, <b>arch</b>, something bent",2015-04-16 08:01:22,2015-04-16 08:01:22,loader,loader,1,
117,2340,0118,1180,68,"arōd-, arəd-",(type of waterbird),2015-04-16 08:01:23,2015-04-16 08:01:23,loader,loader,1,
118,2341,0119,1190,68,aro-m,reed?,2015-04-16 08:01:23,2015-04-16 08:01:23,loader,loader,1,
119,2342,0120,1200,68,aru̯ā,intestines?,2015-04-16 08:01:23,2015-04-16 08:01:23,loader,loader,1,
120,2343,0121,1210,68-69,"ā̆s-, based on it azd-, azg(h)-","to burn, glow; <b>ash</b>",2015-04-16 08:01:23,2015-04-16 08:01:23,loader,loader,1,
121,2344,0122,1220,69,ast(h)-,bone,2015-04-16 08:01:26,2015-04-16 08:01:26,loader,loader,1,
122,2345,0123,1230,69,at-,"to go; year, <b>annum</b>",2015-04-16 08:01:26,2015-04-16 08:01:26,loader,loader,1,
123,2346,0124,1240,69,āt(e)r-,fire,2015-04-16 08:01:28,2015-04-16 08:01:28,loader,loader,1,
124,2347,0125,1250,70,"*ati-, ateli-",(type of fish),2015-04-16 08:01:28,2015-04-16 08:01:28,loader,loader,1,
125,2348,0126,1260,70-71,"ati, ato-","over, beyond",2015-04-16 08:01:28,2015-04-16 08:01:28,loader,loader,1,
