,id,from_etyma_id,to_etyma_id,created_at,updated_at
0,1,2224,2319,2015-04-16 09:21:12,2015-04-16 09:21:12
1,2,2226,2227,2015-04-16 09:21:12,2015-04-16 09:21:12
2,3,2227,2226,2015-04-16 09:21:12,2015-04-16 09:21:12
3,4,2229,2230,2015-04-16 09:21:12,2015-04-16 09:21:12
4,5,2230,2229,2015-04-16 09:21:12,2015-04-16 09:21:12
5,6,2233,2242,2015-04-16 09:21:12,2015-04-16 09:21:12
6,7,2234,2254,2015-04-16 09:21:12,2015-04-16 09:21:12
7,8,2237,2238,2015-04-16 09:21:12,2015-04-16 09:21:12
8,9,2238,2237,2015-04-16 09:21:12,2015-04-16 09:21:12
9,10,2242,2233,2015-04-16 09:21:12,2015-04-16 09:21:12
10,11,2245,2261,2015-04-16 09:21:12,2015-04-16 09:21:12
11,12,2249,2252,2015-04-16 09:21:12,2015-04-16 09:21:12
12,13,2251,3632,2015-04-16 09:21:12,2015-04-16 09:21:12
13,14,2252,2253,2015-04-16 09:21:12,2015-04-16 09:21:12
14,15,2253,2262,2015-04-16 09:21:12,2015-04-16 09:21:12
15,16,2254,2234,2015-04-16 09:21:12,2015-04-16 09:21:12
16,17,2261,2245,2015-04-16 09:21:12,2015-04-16 09:21:12
17,18,2262,2266,2015-04-16 09:21:12,2015-04-16 09:21:12
18,19,2266,2267,2015-04-16 09:21:12,2015-04-16 09:21:12
19,20,2267,2249,2015-04-16 09:21:12,2015-04-16 09:21:12
20,21,2270,3636,2015-04-16 09:21:12,2015-04-16 09:21:12
21,22,2272,2538,2015-04-16 09:21:12,2015-04-16 09:21:12
22,23,2275,2338,2015-04-16 09:21:12,2015-04-16 09:21:12
23,24,2282,2283,2015-04-16 09:21:12,2015-04-16 09:21:12
24,25,2283,2684,2015-04-16 09:21:12,2015-04-16 09:21:12
25,26,2285,2334,2015-04-16 09:21:12,2015-04-16 09:21:12
26,27,2291,2662,2015-04-16 09:21:12,2015-04-16 09:21:12
27,28,2292,3455,2015-04-16 09:21:12,2015-04-16 09:21:12
28,29,2293,3456,2015-04-16 09:21:12,2015-04-16 09:21:12
29,30,2296,3642,2015-04-16 09:21:12,2015-04-16 09:21:12
30,31,2300,2315,2015-04-16 09:21:12,2015-04-16 09:21:12
