,id,etyma_id,semantic_field_id,created_at,updated_at
0,3389,2223,2022,2015-04-16 07:59:11,2015-04-16 07:59:11
1,3390,2224,1111,2015-04-16 07:59:12,2015-04-16 07:59:12
2,3391,2224,1116,2015-04-16 07:59:12,2015-04-16 07:59:12
3,3392,2225,1388,2015-04-16 07:59:12,2015-04-16 07:59:12
4,3393,2226,1832,2015-04-16 07:59:14,2015-04-16 07:59:14
5,3394,2227,1336,2015-04-16 07:59:14,2015-04-16 07:59:14
6,3395,2228,1248,2015-04-16 07:59:14,2015-04-16 07:59:14
7,3396,2229,1753,2015-04-16 07:59:15,2015-04-16 07:59:15
8,3397,2230,1670,2015-04-16 07:59:16,2015-04-16 07:59:16
9,3398,2231,1510,2015-04-16 07:59:17,2015-04-16 07:59:17
10,3399,2233,1638,2015-04-16 07:59:17,2015-04-16 07:59:17
11,3400,2233,1639,2015-04-16 07:59:17,2015-04-16 07:59:17
12,3401,2236,1847,2015-04-16 07:59:28,2015-04-16 07:59:28
13,3402,2237,1966,2015-04-16 07:59:31,2015-04-16 07:59:31
14,3403,2237,1952,2015-04-16 07:59:31,2015-04-16 07:59:31
15,3404,2240,1982,2015-04-16 07:59:33,2015-04-16 07:59:33
16,3405,2240,1983,2015-04-16 07:59:33,2015-04-16 07:59:33
17,3406,2242,1106,2015-04-16 07:59:34,2015-04-16 07:59:34
18,3407,2242,1490,2015-04-16 07:59:34,2015-04-16 07:59:34
19,3408,2243,1548,2015-04-16 07:59:36,2015-04-16 07:59:36
20,3409,2244,1213,2015-04-16 07:59:37,2015-04-16 07:59:37
21,3410,2247,1668,2015-04-16 07:59:37,2015-04-16 07:59:37
22,3411,2248,1805,2015-04-16 07:59:38,2015-04-16 07:59:38
23,3412,2249,1144,2015-04-16 07:59:38,2015-04-16 07:59:38
24,3413,2249,1900,2015-04-16 07:59:38,2015-04-16 07:59:38
25,3414,2250,2024,2015-04-16 07:59:38,2015-04-16 07:59:38
26,3415,2252,1144,2015-04-16 07:59:39,2015-04-16 07:59:39
27,3416,2252,1900,2015-04-16 07:59:39,2015-04-16 07:59:39
28,3417,2253,1847,2015-04-16 07:59:40,2015-04-16 07:59:40
29,3418,2253,1129,2015-04-16 07:59:40,2015-04-16 07:59:40
30,3419,2253,1850,2015-04-16 07:59:40,2015-04-16 07:59:40
31,3420,2254,1219,2015-04-16 07:59:41,2015-04-16 07:59:41
32,3421,2255,1952,2015-04-16 07:59:41,2015-04-16 07:59:41
33,3422,2255,1947,2015-04-16 07:59:41,2015-04-16 07:59:41
34,3423,2256,1525,2015-04-16 07:59:42,2015-04-16 07:59:42
35,3424,2256,1119,2015-04-16 07:59:42,2015-04-16 07:59:42
36,3425,2257,1610,2015-04-16 07:59:43,2015-04-16 07:59:43
37,3426,2258,1960,2015-04-16 07:59:43,2015-04-16 07:59:43
38,3427,2260,2116,2015-04-16 07:59:43,2015-04-16 07:59:43
39,3428,2261,2039,2015-04-16 07:59:44,2015-04-16 07:59:44
40,3429,2262,1586,2015-04-16 07:59:44,2015-04-16 07:59:44
41,3430,2262,1587,2015-04-16 07:59:44,2015-04-16 07:59:44
42,3431,2264,1969,2015-04-16 07:59:45,2015-04-16 07:59:45
43,3432,2264,1970,2015-04-16 07:59:45,2015-04-16 07:59:45
44,3433,2265,2170,2015-04-16 07:59:46,2015-04-16 07:59:46
45,3434,2266,1901,2015-04-16 07:59:46,2015-04-16 07:59:46
46,3435,2266,1900,2015-04-16 07:59:46,2015-04-16 07:59:46
47,3436,2268,1330,2015-04-16 07:59:47,2015-04-16 07:59:47
48,3437,2270,1918,2015-04-16 07:59:51,2015-04-16 07:59:51
49,3438,2270,1121,2015-04-16 07:59:51,2015-04-16 07:59:51
50,3439,2274,1111,2015-04-16 07:59:59,2015-04-16 07:59:59
51,3440,2274,1116,2015-04-16 07:59:59,2015-04-16 07:59:59
52,3441,2275,2089,2015-04-16 08:00:03,2015-04-16 08:00:03
53,3442,2275,1790,2015-04-16 08:00:03,2015-04-16 08:00:03
54,3443,2276,1761,2015-04-16 08:00:10,2015-04-16 08:00:10
55,3444,2277,1623,2015-04-16 08:00:15,2015-04-16 08:00:15
56,3445,2279,1374,2015-04-16 08:00:16,2015-04-16 08:00:16
57,3446,2281,2039,2015-04-16 08:00:16,2015-04-16 08:00:16
58,3447,2281,2098,2015-04-16 08:00:16,2015-04-16 08:00:16
59,3448,2283,1905,2015-04-16 08:00:16,2015-04-16 08:00:16
60,3449,2285,2093,2015-04-16 08:00:19,2015-04-16 08:00:19
61,3450,2286,1925,2015-04-16 08:00:20,2015-04-16 08:00:20
62,3451,2286,1138,2015-04-16 08:00:20,2015-04-16 08:00:20
63,3452,2287,1708,2015-04-16 08:00:20,2015-04-16 08:00:20
64,3453,2287,1714,2015-04-16 08:00:20,2015-04-16 08:00:20
65,3454,2287,1721,2015-04-16 08:00:20,2015-04-16 08:00:20
66,3455,2287,1683,2015-04-16 08:00:20,2015-04-16 08:00:20
67,3456,2290,1888,2015-04-16 08:00:20,2015-04-16 08:00:20
