,id,name,order,abbr,aka,sub_family_id,override_family,custom_sort,created_at,updated_at,created_by,updated_by,description
0,375,Old Irish,1,OIr,,53,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
1,376,Middle Irish,2,MIr,,53,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
2,377,Irish,3,Ir,a.k.a. Irish Gaelic,53,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
3,378,Gaelic,4,Gael,a.k.a. Scots Gaelic,53,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
4,379,Scots Gaelic,5,ScotG,,53,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
5,380,Manx,6,Manx,a.k.a. Manx Gaelic,53,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
6,381,Shelta,7,Shel,,53,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
7,382,Old Breton,1,OBret,,54,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
8,383,Middle Breton,2,MBret,,54,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
9,384,Breton,3,Bret,,54,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
10,385,Old Cornish,4,OCorn,,54,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
11,386,Middle Cornish,5,MCorn,,54,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
12,387,Cornish,6,Corn,,54,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
13,388,Cumbric,7,Cumb,,54,,"aAàǣ,ā,bB,cC,dD,eEēÉe̐,é,fF,gG,hH,iIīí,jJ,kK,lL,mM,nN,oOò,ō,ð,pP,qQ,rR,sS,tT,uUúū,vV,wW,xX,yY,zZ",2015-04-16 07:58:32,2015-04-16 09:22:28,loader,loader,
