,id,text,number,abbr,created_at,updated_at,created_by,updated_by,lexicon_id
0,23,Physical World,1,PW,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader,1
1,24,Mankind,2,MK,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader,1
2,25,Animals,3,AN,2015-04-16 07:58:54,2015-04-16 07:58:54,loader,loader,1
3,26,Body Parts & Functions,4,BP,2015-04-16 07:58:54,2015-04-16 07:58:54,loader,loader,1
4,27,Food & Drink,5,FD,2015-04-16 07:58:55,2015-04-16 07:58:55,loader,loader,1
5,28,Clothing & Adornment,6,CA,2015-04-16 07:58:55,2015-04-16 07:58:55,loader,loader,1
6,29,Dwellings & Furniture,7,DF,2015-04-16 07:58:56,2015-04-16 07:58:56,loader,loader,1
7,30,Agriculture & Vegetation,8,AV,2015-04-16 07:58:56,2015-04-16 07:58:56,loader,loader,1
8,31,Physical Acts & Materials,9,PA,2015-04-16 07:58:56,2015-04-16 07:58:56,loader,loader,1
9,32,Motion & Transportation,10,MO,2015-04-16 07:58:56,2015-04-16 07:58:56,loader,loader,1
10,33,Possession & Trade,11,PT,2015-04-16 07:58:57,2015-04-16 07:58:57,loader,loader,1
11,34,Spatial Relations,12,SR,2015-04-16 07:58:57,2015-04-16 07:58:57,loader,loader,1
12,35,Quantity & Number,13,QN,2015-04-16 07:58:58,2015-04-16 07:58:58,loader,loader,1
13,36,Time,14,TI,2015-04-16 07:58:58,2015-04-16 07:58:58,loader,loader,1
14,37,Sense Perception,15,SP,2015-04-16 07:58:58,2015-04-16 07:58:58,loader,loader,1
15,38,Emotion,16,EM,2015-04-16 07:58:58,2015-04-16 07:58:58,loader,loader,1
16,39,Mind & Thought,17,MT,2015-04-16 07:58:59,2015-04-16 07:58:59,loader,loader,1
17,40,Language & Music,18,LM,2015-04-16 07:58:59,2015-04-16 07:58:59,loader,loader,1
18,41,Social Relations,19,SO,2015-04-16 07:58:59,2015-04-16 07:58:59,loader,loader,1
19,42,Warfare & Hunting,20,WH,2015-04-16 07:59:00,2015-04-16 07:59:00,loader,loader,1
20,43,Law & Judgment,21,LJ,2015-04-16 07:59:00,2015-04-16 07:59:00,loader,loader,1
21,44,Religion & Beliefs,22,RB,2015-04-16 07:59:00,2015-04-16 07:59:00,loader,loader,1
