,id,text,number,abbr,semantic_category_id,created_at,updated_at,created_by,updated_by
0,1099,World,1.1,PW_WO,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
1,1100,"Earth, Land",1.21,PW_EL,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
2,1101,"Ground, Soil",1.212,PW_GS,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
3,1102,"Dust, Powder",1.213,PW_DU,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
4,1103,"Mud, Mire",1.214,PW_MU,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
5,1104,"Sand, Grit",1.215,PW_SA,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
6,1105,"Hill, Mountain",1.22,PW_MH,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
7,1106,"Plain, Field",1.23,PW_PF,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
8,1107,"Dale, Valley",1.24,PW_VA,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
9,1108,"Isle, Island",1.25,PW_IS,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
10,1109,"Mainland, Continent",1.26,PW_ML,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
11,1110,"Shore, Beach",1.27,PW_SH,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
12,1111,Water,1.31,PW_WA,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
13,1112,Sea,1.32,PW_SE,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
14,1113,"Lake, Pond",1.33,PW_LA,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
15,1114,"Gulf, Bay",1.34,PW_GB,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
16,1115,"Wave, Surge",1.35,PW_WV,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
17,1116,"Brook, Stream, River",1.36,PW_RS,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
18,1117,"Spring, Well",1.37,PW_SW,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
19,1118,"Woods, Forest",1.41,PW_WF,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
20,1119,"Tree, Oak",1.42,PW_TR,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
21,1120,"Wood, Timber",1.43,PW_WD,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
22,1121,"Rock, Stone",1.44,PW_SR,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
23,1122,"Sky, Heavens",1.51,PW_SK,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
24,1123,Sun,1.52,PW_SU,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
25,1124,Moon,1.53,PW_MO,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
26,1125,Star,1.54,PW_ST,23,2015-04-16 07:58:53,2015-04-16 07:58:53,loader,loader
