user_input,sounds
p,p
pʰ,pʰ
b,b
bʰ,bʰ
t,t
tʰ,tʰ
d,d
dʰ,dʰ
ḱ,ḱ
ḱʰ,ḱʰ
ǵ,ǵ
ǵʰ,ǵʰ
k,k
kʰ,kʰ
g,g
gʰ,gʰ
kʷ,kʷ
kʷʰ,kʷʰ
gʷ,gʷ
gʷʰ,gʷʰ
T,"t, tʰ, d, dʰ"
K,"ḱ, ḱʰ, ǵ, ǵʰ, k, kʰ, g, gʰ, kʷ, kʷʰ, gʷ, gʷʰ"
k('),"k, ḱ"
ǵ(ʰ),"ǵ, ǵʰ"
g(')ʰ,"ǵʰ, gʰ"
g('),"ǵ, g"
k(ʷ),"k, kʷ"
g(ʷ)ʰ,"gʰ, gʷʰ"
g(ʷ),"g, gʷ"
h₁,h₁
h₂,h₂
h₃,h₃
"H, hₓ","h₁, h₂, h₃"
s,s
z,z
F,"h₁, h₂, h₃, s, z"
u̯,"w, u̯"
w,"w, u̯"
y,"y, i̯"
i̯,"y, i̯"
G,"w, u̯, y, i̯"
r,r
l,l
L,"r, l"
m,m
n,n
N,"m, n"
r̥,r̥
l̥,l̥
m̥,m̥
n̥,n̥
C,"b, bʰ, d, dʰ, g, gʰ, gʷ, gʷʰ, h₁, h₂, h₃, i̯, k, kʰ, kʷ, kʷʰ, l, l̥, m, m̥, n, n̥, p, pʰ, r, r̥, s, t, tʰ, u̯, w, y, z, ǵ, ǵʰ, ḱ, ḱʰ"
V,"a, e, ē, ḗ, i, o, ō, u, ū́, á, é, í, ó, ú, ā, ā́, ī, ī́, ū, ə, ṓ"
i,i
u,u
a,a
e,e
o,o
ā,ā
ē,ē
ō,ō
á,á
é,é
ó,ó
ā́,ā́
ḗ,ḗ
ṓ,ṓ
í,í
ī,ī
ī́,ī́
ú,ú
ū,ū
ū́,ū́
ə,ə
